transaction_id,mall_name,branch_name,transaction_date,tax_amount,transaction_amount,transaction_type,transaction_status,transaction_date_iso
JO-2504-2585-27520,C Mall,C Mall Irbid,2025-02-16 11:42:00,0.28,3.8,Sale,Failed,2025-02-16T11:42:00
JO-2504-2189-92656,C Mall,C Mall Irbid,2025-02-16 11:24:00,0.25,3.4,Sale,Failed,2025-02-16T11:24:00
JO-2504-6453-56419,C Mall,C Mall Irbid,2025-02-16 10:42:00,0.24,3.27,Sale,Failed,2025-02-16T10:42:00
JO-2504-7427-57136,Z Mall,Z Mall Gardens,2025-02-16 10:20:00,0.66,8.96,Sale,Failed,2025-02-16T10:20:00
JO-2504-2200-76230,Z Mall,Z Mall Gardens,2025-02-16 10:07:00,0.24,3.27,Sale,Failed,2025-02-16T10:07:00
JO-2504-6110-80081,C Mall,C Mall Aqaba,2025-02-16 09:48:00,1.31,17.8,Sale,Failed,2025-02-16T09:48:00
JO-2504-7743-51682,C Mall,C Mall Amman,2025-02-16 09:19:00,0.7,9.52,Sale,Failed,2025-02-16T09:19:00
JO-2504-6952-52415,Z Mall,Z Mall Al Bayader,2025-02-15 20:46:00,1.26,17.01,Sale,Failed,2025-02-15T20:46:00
JO-2504-4804-72665,C Mall,C Mall Amman,2025-02-15 18:55:00,0.66,8.96,Sale,Failed,2025-02-15T18:55:00
JO-2504-4946-35671,C Mall,C Mall Amman,2025-02-15 18:09:00,0.59,7.89,Sale,Failed,2025-02-15T18:09:00
JO-2504-7774-42518,Y Mall,Y Mall Tla'a Al-Ali,2025-02-15 17:47:00,0.66,8.96,Sale,Failed,2025-02-15T17:47:00
JO-2504-8507-62212,Z Mall,Z Mall Gardens,2025-02-15 16:45:00,0.72,9.75,Sale,Failed,2025-02-15T16:45:00
JO-2504-6769-99828,Z Mall,Z Mall Al Bayader,2025-02-15 16:44:00,0.66,8.96,Sale,Failed,2025-02-15T16:44:00
JO-2504-5702-62970,Z Mall,Z Mall Al Bayader,2025-02-15 16:33:00,0.66,8.96,Sale,Failed,2025-02-15T16:33:00
JO-2504-8222-61678,Z Mall,Z Mall Al Bayader,2025-02-15 16:25:00,0.24,3.27,Sale,Failed,2025-02-15T16:25:00
JO-2504-6716-53055,Y Mall,Y Mall Shmeisani,2025-02-15 16:21:00,0.29,3.9,Sale,Failed,2025-02-15T16:21:00
JO-2504-6587-52273,C Mall,C Mall Amman,2025-02-15 16:16:00,1.6,21.55,Sale,Failed,2025-02-15T16:16:00
JO-2504-7892-68203,C Mall,C Mall Aqaba,2025-02-15 16:14:00,0.25,3.4,Sale,Completed,2025-02-15T16:14:00
JO-2504-9682-23048,C Mall,C Mall Amman,2025-02-15 16:13:00,0.24,3.27,Sale,Completed,2025-02-15T16:13:00
JO-2504-1616-31930,C Mall,C Mall Aqaba,2025-02-15 16:12:00,0.87,11.71,Sale,Completed,2025-02-15T16:12:00
JO-2504-3551-21696,Z Mall,Z Mall Gardens,2025-02-15 16:09:00,1.16,15.65,Sale,Completed,2025-02-15T16:09:00
JO-2504-2639-31037,Z Mall,Z Mall Al Bayader,2025-02-15 16:03:00,0.16,2.16,Sale,Completed,2025-02-15T16:03:00
JO-2504-8048-49321,C Mall,C Mall Amman,2025-02-15 15:52:00,0.35,4.68,Sale,Completed,2025-02-15T15:52:00
JO-2504-9702-31670,Z Mall,Z Mall Al Jubeiha,2025-02-15 15:52:00,1.24,16.68,Sale,Completed,2025-02-15T15:52:00
JO-2504-9370-85671,C Mall,C Mall Irbid,2025-02-15 15:36:00,0.66,8.96,Sale,Completed,2025-02-15T15:36:00
JO-2504-3090-52986,Z Mall,Z Mall Al Jubeiha,2025-02-15 15:24:00,0.24,3.27,Sale,Completed,2025-02-15T15:24:00
JO-2504-3858-69497,C Mall,C Mall Amman,2025-02-15 15:02:00,0.6,8.11,Sale,Completed,2025-02-15T15:02:00
JO-2504-2700-15540,C Mall,C Mall Aqaba,2025-02-15 14:44:00,0.42,5.72,Sale,Completed,2025-02-15T14:44:00
JO-2504-5493-42425,C Mall,C Mall Irbid,2025-02-15 14:34:00,0.42,5.72,Sale,Completed,2025-02-15T14:34:00
JO-2504-7222-35079,C Mall,C Mall Amman,2025-02-15 14:31:00,0.24,3.27,Sale,Completed,2025-02-15T14:31:00
JO-2504-7842-43008,Z Mall,Z Mall Al Jubeiha,2025-02-15 14:29:00,0.66,8.96,Sale,Completed,2025-02-15T14:29:00
JO-2504-8494-62254,C Mall,C Mall Amman,2025-02-15 14:25:00,0.72,9.82,Sale,Completed,2025-02-15T14:25:00
JO-2504-2905-98654,Y Mall,Y Mall Dabouq,2025-02-15 14:18:00,0.75,10.01,Sale,Completed,2025-02-15T14:18:00
JO-2504-8607-38748,C Mall,C Mall Amman,2025-02-15 14:15:00,0.24,3.27,Sale,Completed,2025-02-15T14:15:00
JO-2504-7058-82438,Z Mall,Z Mall Gardens,2025-02-15 14:13:00,0.27,3.68,Sale,Completed,2025-02-15T14:13:00
JO-2504-9319-91097,C Mall,C Mall Irbid,2025-02-15 13:58:00,0.24,3.27,Sale,Completed,2025-02-15T13:58:00
JO-2504-8846-88305,Y Mall,Y Mall Tla'a Al-Ali,2025-02-15 13:51:00,0.25,3.4,Sale,Completed,2025-02-15T13:51:00
JO-2504-8846-90693,C Mall,C Mall Aqaba,2025-02-15 13:49:00,0.66,8.96,Sale,Completed,2025-02-15T13:49:00
JO-2504-7795-30480,C Mall,C Mall Aqaba,2025-02-15 13:45:00,0.48,6.55,Sale,Completed,2025-02-15T13:45:00
JO-2504-8475-25372,C Mall,C Mall Amman,2025-02-15 13:40:00,1.44,19.4,Sale,Completed,2025-02-15T13:40:00
JO-2504-5531-87191,Z Mall,Z Mall Al Jubeiha,2025-02-15 13:16:00,0.24,3.27,Sale,Completed,2025-02-15T13:16:00
JO-2504-2467-45264,C Mall,C Mall Amman,2025-02-15 13:15:00,0.37,4.91,Sale,Completed,2025-02-15T13:15:00
JO-2504-7838-43166,Z Mall,Z Mall Al Jubeiha,2025-02-15 12:58:00,1.43,19.18,Sale,Completed,2025-02-15T12:58:00
JO-2504-4661-86469,Y Mall,Y Mall Shmeisani,2025-02-15 12:56:00,0.24,3.27,Sale,Completed,2025-02-15T12:56:00
JO-2504-2599-70403,C Mall,C Mall Aqaba,2025-02-15 12:47:00,0.6,8.11,Sale,Completed,2025-02-15T12:47:00
JO-2504-4128-15689,Z Mall,Z Mall Gardens,2025-02-15 12:46:00,0.48,6.57,Sale,Completed,2025-02-15T12:46:00
JO-2504-3716-45839,Z Mall,Z Mall Al Jubeiha,2025-02-15 12:40:00,0.97,13.11,Sale,Completed,2025-02-15T12:40:00
JO-2504-6970-65197,Z Mall,Z Mall Al Jubeiha,2025-02-15 12:32:00,0.24,3.27,Sale,Completed,2025-02-15T12:32:00
JO-2504-1316-84768,C Mall,C Mall Irbid,2025-02-15 12:31:00,0.48,6.55,Sale,Completed,2025-02-15T12:31:00
JO-2504-8618-83513,Z Mall,Z Mall Al Jubeiha,2025-02-15 12:24:00,0.48,6.55,Sale,Completed,2025-02-15T12:24:00
JO-2504-3937-82590,C Mall,C Mall Irbid,2025-02-15 12:17:00,1.04,14.06,Sale,Completed,2025-02-15T12:17:00
JO-2504-6437-23445,C Mall,C Mall Aqaba,2025-02-15 12:06:00,0.66,8.96,Sale,Completed,2025-02-15T12:06:00
JO-2504-6073-58323,Y Mall,Y Mall Tla'a Al-Ali,2025-02-15 11:55:00,0.24,3.27,Sale,Completed,2025-02-15T11:55:00
JO-2504-5112-21357,Y Mall,Y Mall Tla'a Al-Ali,2025-02-15 11:52:00,0.11,1.48,Sale,Completed,2025-02-15T11:52:00
JO-2504-1688-68563,C Mall,C Mall Aqaba,2025-02-15 11:51:00,0.82,11.06,Sale,Completed,2025-02-15T11:51:00
JO-2504-7292-13979,Y Mall,Y Mall Shmeisani,2025-02-15 11:43:00,0.66,8.96,Sale,Completed,2025-02-15T11:43:00
JO-2504-8212-57252,Z Mall,Z Mall Gardens,2025-02-15 11:40:00,0.24,3.27,Sale,Completed,2025-02-15T11:40:00
JO-2504-5844-27764,C Mall,C Mall Amman,2025-02-15 11:39:00,2.2,29.78,Sale,Completed,2025-02-15T11:39:00
JO-2504-8737-35940,Y Mall,Y Mall Dabouq,2025-02-15 11:27:00,0.78,10.55,Sale,Completed,2025-02-15T11:27:00
JO-2504-3409-45333,Z Mall,Z Mall Gardens,2025-02-15 11:25:00,1.96,26.64,Sale,Completed,2025-02-15T11:25:00
JO-2504-2599-57605,C Mall,C Mall Amman,2025-02-15 11:13:00,0.11,1.58,Sale,Completed,2025-02-15T11:13:00
JO-2504-7509-88148,Z Mall,Z Mall Al Bayader,2025-02-15 11:09:00,0.66,8.96,Sale,Completed,2025-02-15T11:09:00
JO-2504-6977-65681,C Mall,C Mall Irbid,2025-02-15 11:07:00,0.48,6.57,Sale,Completed,2025-02-15T11:07:00
JO-2504-4726-21747,C Mall,C Mall Amman,2025-02-15 11:00:00,0.41,5.45,Sale,Completed,2025-02-15T11:00:00
JO-2504-8393-77022,Z Mall,Z Mall Gardens,2025-02-15 10:59:00,0.74,9.93,Sale,Completed,2025-02-15T10:59:00
JO-2504-9860-60498,Z Mall,Z Mall Al Bayader,2025-02-15 10:48:00,0.34,4.54,Sale,Completed,2025-02-15T10:48:00
JO-2504-6156-59042,Z Mall,Z Mall Al Bayader,2025-02-15 10:06:00,0.28,3.8,Sale,Completed,2025-02-15T10:06:00
JO-2504-7670-22827,C Mall,C Mall Aqaba,2025-02-14 20:16:00,1.2,16.32,Sale,Completed,2025-02-14T20:16:00
JO-2504-6109-88674,Z Mall,Z Mall Al Jubeiha,2025-02-14 18:32:00,0.34,4.51,Sale,Completed,2025-02-14T18:32:00
JO-2504-5023-71335,C Mall,C Mall Irbid,2025-02-14 18:09:00,0.7,9.47,Sale,Completed,2025-02-14T18:09:00
JO-2504-8583-97759,Z Mall,Z Mall Gardens,2025-02-14 17:58:00,1.32,17.91,Sale,Completed,2025-02-14T17:58:00
JO-2504-9561-75413,C Mall,C Mall Aqaba,2025-02-14 17:40:00,0.26,3.57,Sale,Completed,2025-02-14T17:40:00
JO-2504-3437-26157,C Mall,C Mall Irbid,2025-02-14 17:38:00,1.03,13.81,Sale,Completed,2025-02-14T17:38:00
JO-2504-4109-40268,C Mall,C Mall Amman,2025-02-14 17:31:00,0.75,10.01,Sale,Completed,2025-02-14T17:31:00
JO-2504-4740-75621,C Mall,C Mall Irbid,2025-02-14 17:25:00,0.06,0.8,Sale,Completed,2025-02-14T17:25:00
JO-2504-1017-89424,Y Mall,Y Mall Shmeisani,2025-02-14 17:14:00,0.43,5.83,Sale,Completed,2025-02-14T17:14:00
JO-2504-1342-63314,C Mall,C Mall Amman,2025-02-14 17:13:00,0.65,8.79,Sale,Completed,2025-02-14T17:13:00
JO-2504-4860-47705,Z Mall,Z Mall Al Jubeiha,2025-02-14 17:12:00,0.27,3.68,Sale,Completed,2025-02-14T17:12:00
JO-2504-6577-30703,Z Mall,Z Mall Gardens,2025-02-14 17:06:00,0.24,3.27,Sale,Completed,2025-02-14T17:06:00
JO-2504-8144-77245,Z Mall,Z Mall Al Bayader,2025-02-14 17:06:00,1.32,17.91,Sale,Completed,2025-02-14T17:06:00
JO-2504-4675-61460,Z Mall,Z Mall Al Jubeiha,2025-02-14 17:00:00,0.32,4.21,Sale,Completed,2025-02-14T17:00:00
JO-2504-5557-13588,C Mall,C Mall Irbid,2025-02-14 16:46:00,0.66,8.96,Sale,Completed,2025-02-14T16:46:00
JO-2504-4359-41854,Y Mall,Y Mall Dabouq,2025-02-14 16:34:00,0.25,3.4,Sale,Completed,2025-02-14T16:34:00
JO-2504-3495-47927,Z Mall,Z Mall Al Bayader,2025-02-14 16:22:00,0.56,7.49,Sale,Completed,2025-02-14T16:22:00
JO-2504-8222-50078,Y Mall,Y Mall Shmeisani,2025-02-14 16:17:00,1.35,18.31,Sale,Completed,2025-02-14T16:17:00
JO-2504-8974-64304,Z Mall,Z Mall Al Bayader,2025-02-14 15:58:00,0.69,9.3,Sale,Completed,2025-02-14T15:58:00
JO-2504-2599-62488,C Mall,C Mall Irbid,2025-02-14 15:38:00,0.24,3.27,Sale,Completed,2025-02-14T15:38:00
JO-2504-3264-71889,C Mall,C Mall Aqaba,2025-02-14 15:37:00,0.66,8.96,Sale,Completed,2025-02-14T15:37:00
JO-2504-9630-98982,Z Mall,Z Mall Gardens,2025-02-14 15:24:00,0.66,8.9,Sale,Completed,2025-02-14T15:24:00
JO-2504-5390-24047,Z Mall,Z Mall Al Bayader,2025-02-14 15:20:00,1.32,17.91,Sale,Completed,2025-02-14T15:20:00
JO-2504-7394-74052,Z Mall,Z Mall Al Bayader,2025-02-14 15:18:00,0.66,8.96,Sale,Completed,2025-02-14T15:18:00
JO-2504-9940-10750,Y Mall,Y Mall Tla'a Al-Ali,2025-02-14 15:15:00,0.49,6.58,Sale,Completed,2025-02-14T15:15:00
JO-2504-3318-96915,Y Mall,Y Mall Shmeisani,2025-02-14 15:12:00,0.66,8.96,Sale,Completed,2025-02-14T15:12:00
JO-2504-3586-24920,Y Mall,Y Mall Tla'a Al-Ali,2025-02-14 15:10:00,0.47,6.4,Sale,Completed,2025-02-14T15:10:00
JO-2504-8400-77428,Y Mall,Y Mall Shmeisani,2025-02-14 15:05:00,1.81,24.49,Refund,Completed,2025-02-14T15:05:00
JO-2504-1286-33921,Z Mall,Z Mall Al Jubeiha,2025-02-14 15:01:00,0.48,6.55,Refund,Completed,2025-02-14T15:01:00
JO-2504-9589-46197,C Mall,C Mall Amman,2025-02-14 15:00:00,1.07,14.51,Refund,Completed,2025-02-14T15:00:00
JO-2504-1586-41724,Y Mall,Y Mall Shmeisani,2025-02-14 14:56:00,0.42,5.57,Sale,Completed,2025-02-14T14:56:00
JO-2504-4795-25353,Z Mall,Z Mall Gardens,2025-02-14 14:53:00,1.32,17.91,Sale,Completed,2025-02-14T14:53:00
JO-2504-9406-55708,C Mall,C Mall Amman,2025-02-14 14:50:00,0.72,9.75,Sale,Completed,2025-02-14T14:50:00
JO-2504-2567-55370,Z Mall,Z Mall Al Jubeiha,2025-02-14 14:47:00,0.75,10.01,Sale,Completed,2025-02-14T14:47:00
JO-2504-5929-83210,C Mall,C Mall Irbid,2025-02-14 14:43:00,0.99,13.38,Sale,Completed,2025-02-14T14:43:00
JO-2504-8878-95880,C Mall,C Mall Amman,2025-02-14 14:42:00,0.24,3.27,Sale,Completed,2025-02-14T14:42:00
JO-2504-7840-15183,C Mall,C Mall Amman,2025-02-14 14:41:00,1.78,24.09,Sale,Completed,2025-02-14T14:41:00
JO-2504-3750-30240,C Mall,C Mall Amman,2025-02-14 14:31:00,0.41,5.56,Sale,Completed,2025-02-14T14:31:00
JO-2504-4264-61093,C Mall,C Mall Amman,2025-02-14 14:29:00,0.66,8.96,Sale,Completed,2025-02-14T14:29:00
JO-2504-1358-16737,Z Mall,Z Mall Gardens,2025-02-14 14:26:00,0.24,3.27,Sale,Completed,2025-02-14T14:26:00
JO-2504-6357-11634,C Mall,C Mall Amman,2025-02-14 14:23:00,0.24,3.27,Sale,Completed,2025-02-14T14:23:00
JO-2504-2021-71854,Y Mall,Y Mall Shmeisani,2025-02-14 14:21:00,0.24,3.27,Sale,Completed,2025-02-14T14:21:00
JO-2504-8301-94917,C Mall,C Mall Irbid,2025-02-14 14:20:00,1.32,17.91,Sale,Completed,2025-02-14T14:20:00
JO-2504-8185-13245,Y Mall,Y Mall Dabouq,2025-02-14 14:13:00,0.84,11.34,Sale,Completed,2025-02-14T14:13:00
JO-2504-8362-88108,Z Mall,Z Mall Gardens,2025-02-14 13:58:00,0.94,12.75,Sale,Completed,2025-02-14T13:58:00
JO-2504-6420-11737,C Mall,C Mall Irbid,2025-02-14 13:33:00,1.36,18.38,Sale,Completed,2025-02-14T13:33:00
JO-2504-2779-81383,C Mall,C Mall Aqaba,2025-02-14 13:27:00,0.66,8.96,Sale,Completed,2025-02-14T13:27:00
JO-2504-8913-70702,C Mall,C Mall Irbid,2025-02-14 13:22:00,0.24,3.27,Sale,Completed,2025-02-14T13:22:00
JO-2504-9134-90233,C Mall,C Mall Amman,2025-02-14 13:21:00,0.34,4.54,Sale,Completed,2025-02-14T13:21:00
JO-2504-6710-85117,Z Mall,Z Mall Gardens,2025-02-14 13:07:00,0.66,8.9,Sale,Completed,2025-02-14T13:07:00
JO-2504-5923-13257,Y Mall,Y Mall Dabouq,2025-02-14 13:05:00,0.16,2.16,Sale,Completed,2025-02-14T13:05:00
JO-2504-4027-85980,Z Mall,Z Mall Al Jubeiha,2025-02-14 12:36:00,0.66,8.96,Sale,Completed,2025-02-14T12:36:00
JO-2504-1813-75700,Z Mall,Z Mall Al Jubeiha,2025-02-14 12:22:00,0.5,6.8,Sale,Completed,2025-02-14T12:22:00
JO-2504-1438-73465,Y Mall,Y Mall Shmeisani,2025-02-14 12:19:00,0.36,4.88,Sale,Completed,2025-02-14T12:19:00
JO-2504-3395-84082,Y Mall,Y Mall Dabouq,2025-02-14 12:16:00,0.66,8.96,Sale,Completed,2025-02-14T12:16:00
JO-2504-9058-10286,C Mall,C Mall Amman,2025-02-14 12:09:00,0.24,3.27,Sale,Completed,2025-02-14T12:09:00
JO-2504-4215-75277,Y Mall,Y Mall Tla'a Al-Ali,2025-02-14 12:08:00,0.6,8.11,Sale,Completed,2025-02-14T12:08:00
JO-2504-7457-28704,Z Mall,Z Mall Gardens,2025-02-14 12:07:00,0.24,3.27,Sale,Completed,2025-02-14T12:07:00
JO-2504-6392-62925,Y Mall,Y Mall Shmeisani,2025-02-14 11:25:00,0.41,5.45,Sale,Completed,2025-02-14T11:25:00
JO-2504-2988-84087,Z Mall,Z Mall Al Jubeiha,2025-02-14 11:14:00,0.66,8.9,Sale,Completed,2025-02-14T11:14:00
JO-2504-8258-54031,Z Mall,Z Mall Al Jubeiha,2025-02-14 10:56:00,0.24,3.27,Sale,Completed,2025-02-14T10:56:00
JO-2504-7499-43916,C Mall,C Mall Aqaba,2025-02-14 10:55:00,1.41,19.05,Sale,Completed,2025-02-14T10:55:00
JO-2504-2622-68382,C Mall,C Mall Aqaba,2025-02-13 18:33:00,0.72,9.82,Sale,Completed,2025-02-13T18:33:00
JO-2504-1518-53542,Y Mall,Y Mall Shmeisani,2025-02-13 18:23:00,0.51,6.92,Sale,Completed,2025-02-13T18:23:00
JO-2504-1286-59974,C Mall,C Mall Amman,2025-02-13 18:21:00,0.24,3.27,Sale,Completed,2025-02-13T18:21:00
JO-2504-3302-80235,Z Mall,Z Mall Gardens,2025-02-13 18:18:00,0.75,10.01,Sale,Completed,2025-02-13T18:18:00
JO-2504-6483-70827,Z Mall,Z Mall Gardens,2025-02-13 17:42:00,0.11,1.58,Sale,Completed,2025-02-13T17:42:00
JO-2504-2245-11639,Z Mall,Z Mall Gardens,2025-02-13 17:22:00,0.05,0.68,Sale,Completed,2025-02-13T17:22:00
JO-2504-3151-98110,C Mall,C Mall Aqaba,2025-02-13 17:21:00,0.54,7.26,Sale,Completed,2025-02-13T17:21:00
JO-2504-3510-93044,Y Mall,Y Mall Dabouq,2025-02-13 17:10:00,1.21,16.33,Sale,Completed,2025-02-13T17:10:00
JO-2504-1162-31373,Z Mall,Z Mall Al Jubeiha,2025-02-13 16:39:00,0.43,5.83,Sale,Completed,2025-02-13T16:39:00
JO-2504-9488-16250,Y Mall,Y Mall Dabouq,2025-02-13 16:38:00,0.66,8.96,Sale,Completed,2025-02-13T16:38:00
JO-2504-6985-57333,Y Mall,Y Mall Tla'a Al-Ali,2025-02-13 16:30:00,0.47,6.4,Sale,Completed,2025-02-13T16:30:00
JO-2504-6137-88014,C Mall,C Mall Irbid,2025-02-13 16:18:00,0.27,3.68,Sale,Completed,2025-02-13T16:18:00
JO-2504-4255-70707,C Mall,C Mall Aqaba,2025-02-13 16:09:00,0.11,1.58,Sale,Completed,2025-02-13T16:09:00
JO-2504-7399-29324,C Mall,C Mall Amman,2025-02-13 15:48:00,0.24,3.27,Sale,Completed,2025-02-13T15:48:00
JO-2504-5650-50429,Y Mall,Y Mall Dabouq,2025-02-13 15:44:00,0.63,8.53,Sale,Completed,2025-02-13T15:44:00
JO-2504-5319-16111,Z Mall,Z Mall Al Jubeiha,2025-02-13 15:39:00,0.24,3.27,Sale,Completed,2025-02-13T15:39:00
JO-2504-7689-65262,C Mall,C Mall Amman,2025-02-13 15:29:00,0.22,3.16,Sale,Completed,2025-02-13T15:29:00
JO-2504-6002-48797,Z Mall,Z Mall Al Bayader,2025-02-13 15:10:00,0.24,3.27,Sale,Completed,2025-02-13T15:10:00
JO-2504-3684-38127,Z Mall,Z Mall Al Bayader,2025-02-13 15:02:00,0.24,3.27,Sale,Completed,2025-02-13T15:02:00
JO-2504-4287-85938,Z Mall,Z Mall Gardens,2025-02-13 14:47:00,0.41,5.45,Sale,Completed,2025-02-13T14:47:00
JO-2504-3238-36890,C Mall,C Mall Amman,2025-02-13 14:12:00,0.24,3.27,Sale,Completed,2025-02-13T14:12:00
JO-2504-7519-11819,C Mall,C Mall Irbid,2025-02-13 14:07:00,0.24,3.27,Sale,Completed,2025-02-13T14:07:00
JO-2504-5190-61663,C Mall,C Mall Irbid,2025-02-13 14:04:00,0.24,3.27,Sale,Completed,2025-02-13T14:04:00
JO-2504-5013-52338,Z Mall,Z Mall Gardens,2025-02-13 13:49:00,0.36,4.77,Sale,Completed,2025-02-13T13:49:00
JO-2504-4241-28675,Y Mall,Y Mall Tla'a Al-Ali,2025-02-13 13:48:00,0.66,8.96,Sale,Completed,2025-02-13T13:48:00
JO-2504-2534-55796,Y Mall,Y Mall Dabouq,2025-02-13 13:47:00,0.66,8.9,Sale,Completed,2025-02-13T13:47:00
JO-2504-3936-45256,Y Mall,Y Mall Dabouq,2025-02-13 13:45:00,0.42,5.67,Sale,Completed,2025-02-13T13:45:00
JO-2504-6687-53491,Y Mall,Y Mall Dabouq,2025-02-13 13:40:00,0.24,3.27,Sale,Completed,2025-02-13T13:40:00
JO-2504-4005-95513,Y Mall,Y Mall Shmeisani,2025-02-13 13:39:00,2.8,37.87,Sale,Completed,2025-02-13T13:39:00
